text,label
"Thyroid Function Test
TSH 5.0 mIU/L 0.4-4.0
Free T3 4.5 pg/mL 2.3-4.2
Free T4 1.0 ng/dL 0.8-1.8",Thyroid Test
"Progress Note
Chief Complaint: Follow-up visit.
History of Present Illness: Improving symptoms since last visit.
Physical Examination: Unremarkable.",Clinical Note
"Kidney Function Test
Creatinine 1.1 mg/dL 0.6-1.3
Blood Urea Nitrogen 36 mg/dL 7-20
Uric Acid 7.1 mg/dL 3.5-7.2
eGFR 49 mL/min 90-120",Kidney Function Test
"Liver Function Test
SGOT (AST) 47 U/L 10-40
SGPT (ALT) 67 U/L 7-56
Total Bilirubin 0.8 mg/dL 0.1-1.2
Alkaline Phosphatase 98 U/L 44-147",Liver Function Test
"Kidney Function Test
Creatinine 1.1 mg/dL 0.6-1.3
Blood Urea Nitrogen 17 mg/dL 7-20
Uric Acid 5.5 mg/dL 3.5-7.2
eGFR 106 mL/min 90-120",Kidney Function Test
"Clinical Note
Chief Complaint: Headache for 3 days.
History of Present Illness: Patient reports throbbing frontal headache.
Physical Examination: Vitals stable, no focal neurological deficit.",Clinical Note
"Liver Function Test
SGOT (AST) 77 U/L 10-40
SGPT (ALT) 14 U/L 7-56
Total Bilirubin 2.1 mg/dL 0.1-1.2
Alkaline Phosphatase 48 U/L 44-147",Liver Function Test
"Thyroid Function Test
TSH 5.4 mIU/L 0.4-4.0
Free T3 2.2 pg/mL 2.3-4.2
Free T4 1.8 ng/dL 0.8-1.8",Thyroid Test
"Clinical Note
Chief Complaint: Headache for 3 days.
History of Present Illness: Patient reports throbbing frontal headache.
Physical Examination: Vitals stable, no focal neurological deficit.",Clinical Note
"Renal Panel
Serum Creatinine 0.8 mg/dL Ref 0.7-1.3
Urea 24 mg/dL Ref 15-40",Kidney Function Test
"Cytology Report
Fine needle aspiration cytology shows benign cellular pattern.",Pathology
"Renal Panel
Serum Creatinine 1.0 mg/dL Ref 0.7-1.3
Urea 36 mg/dL Ref 15-40",Kidney Function Test
"Kidney Function Test
Creatinine 1.5 mg/dL 0.6-1.3
Blood Urea Nitrogen 38 mg/dL 7-20
Uric Acid 6.9 mg/dL 3.5-7.2
eGFR 61 mL/min 90-120",Kidney Function Test
"Complete Blood Count
Hemoglobin 12.6 g/dL 12.0-16.0
WBC 11861 /uL 4000-11000
Platelets 330268 /uL 150000-450000
RBC 5.3 million/uL 4.2-5.4
Hematocrit 37.7 % 36-46",CBC
"Cytology Report
Fine needle aspiration cytology shows benign cellular pattern.",Pathology
"Clinical Note
Chief Complaint: Headache for 3 days.
History of Present Illness: Patient reports throbbing frontal headache.
Physical Examination: Vitals stable, no focal neurological deficit.",Clinical Note
"Thyroid Panel
TSH 7.7 uIU/mL Ref 0.27-4.2
T4 1.4 ng/dL Ref 0.9-1.7",Thyroid Test
"Urine Analysis Report
Color Pale Yellow
Specific Gravity 1.02
pH 6.0
Protein Negative
Glucose Negative
Urine Microscopy: RBC 0-2/hpf, WBC 0-3/hpf",Urine Analysis
"Complete Blood Count
Hemoglobin 13.6 g/dL 12.0-16.0
WBC 12836 /uL 4000-11000
Platelets 115303 /uL 150000-450000
RBC 5.0 million/uL 4.2-5.4
Hematocrit 36.9 % 36-46",CBC
"Ultrasound Abdomen
Liver, gallbladder, pancreas, spleen and kidneys appear normal in echotexture.",Radiology
"Progress Note
Chief Complaint: Follow-up visit.
History of Present Illness: Improving symptoms since last visit.
Physical Examination: Unremarkable.",Clinical Note
"LFT Panel
ALT 32 IU/L Ref 7-55
AST 55 IU/L Ref 8-48
Bilirubin Total 2.3 mg/dL Ref 0.3-1.0",Liver Function Test
"LFT Panel
ALT 36 IU/L Ref 7-55
AST 26 IU/L Ref 8-48
Bilirubin Total 2.4 mg/dL Ref 0.3-1.0",Liver Function Test
"Complete Blood Count
Hemoglobin 14.2 g/dL 12.0-16.0
WBC 10812 /uL 4000-11000
Platelets 360702 /uL 150000-450000
RBC 5.4 million/uL 4.2-5.4
Hematocrit 49.0 % 36-46",CBC
"Cytology Report
Fine needle aspiration cytology shows benign cellular pattern.",Pathology
"Lipid Profile
Total Cholesterol 229 mg/dL 125-200
HDL Cholesterol 42 mg/dL 40-60
LDL Cholesterol 76 mg/dL 0-100
Triglycerides 71 mg/dL 0-150",Lipid Profile
"Cytology Report
Fine needle aspiration cytology shows benign cellular pattern.",Pathology
"Progress Note
Chief Complaint: Follow-up visit.
History of Present Illness: Improving symptoms since last visit.
Physical Examination: Unremarkable.",Clinical Note
"Liver Function Test
SGOT (AST) 89 U/L 10-40
SGPT (ALT) 76 U/L 7-56
Total Bilirubin 0.8 mg/dL 0.1-1.2
Alkaline Phosphatase 94 U/L 44-147",Liver Function Test
"Urine Analysis Report
Color Pale Yellow
Specific Gravity 1.02
pH 6.0
Protein Negative
Glucose Negative
Urine Microscopy: RBC 0-2/hpf, WBC 0-3/hpf",Urine Analysis
"Urinalysis
Appearance Clear
Specific Gravity 1.015
Protein Trace
Ketones Negative
Nitrite Negative",Urine Analysis
"Discharge Summary
Patient admitted with fever and cough. Treated with antibiotics. Discharged in stable condition. Follow up in 1 week.",Discharge Summary
"Thyroid Function Test
TSH 2.1 mIU/L 0.4-4.0
Free T3 2.6 pg/mL 2.3-4.2
Free T4 1.1 ng/dL 0.8-1.8",Thyroid Test
"Urinalysis
Appearance Clear
Specific Gravity 1.015
Protein Trace
Ketones Negative
Nitrite Negative",Urine Analysis
"Discharge Summary
Patient admitted with fever and cough. Treated with antibiotics. Discharged in stable condition. Follow up in 1 week.",Discharge Summary
"Renal Panel
Serum Creatinine 1.8 mg/dL Ref 0.7-1.3
Urea 9 mg/dL Ref 15-40",Kidney Function Test
"Urine Analysis Report
Color Pale Yellow
Specific Gravity 1.02
pH 6.0
Protein Negative
Glucose Negative
Urine Microscopy: RBC 0-2/hpf, WBC 0-3/hpf",Urine Analysis
"Urinalysis
Appearance Clear
Specific Gravity 1.015
Protein Trace
Ketones Negative
Nitrite Negative",Urine Analysis
"Thyroid Function Test
TSH 1.3 mIU/L 0.4-4.0
Free T3 2.9 pg/mL 2.3-4.2
Free T4 2.0 ng/dL 0.8-1.8",Thyroid Test
"Thyroid Panel
TSH 2.5 uIU/mL Ref 0.27-4.2
T4 0.9 ng/dL Ref 0.9-1.7",Thyroid Test
"Cytology Report
Fine needle aspiration cytology shows benign cellular pattern.",Pathology
"Clinical Note
Chief Complaint: Headache for 3 days.
History of Present Illness: Patient reports throbbing frontal headache.
Physical Examination: Vitals stable, no focal neurological deficit.",Clinical Note
"Complete Blood Count
Hemoglobin 14.7 g/dL 12.0-16.0
WBC 5345 /uL 4000-11000
Platelets 234339 /uL 150000-450000
RBC 5.7 million/uL 4.2-5.4
Hematocrit 31.6 % 36-46",CBC
"Lipid Profile
Total Cholesterol 181 mg/dL 125-200
HDL Cholesterol 30 mg/dL 40-60
LDL Cholesterol 176 mg/dL 0-100
Triglycerides 87 mg/dL 0-150",Lipid Profile
"Discharge Summary
Patient admitted with fever and cough. Treated with antibiotics. Discharged in stable condition. Follow up in 1 week.",Discharge Summary
"Thyroid Function Test
TSH 2.7 mIU/L 0.4-4.0
Free T3 2.5 pg/mL 2.3-4.2
Free T4 1.4 ng/dL 0.8-1.8",Thyroid Test
"Progress Note
Chief Complaint: Follow-up visit.
History of Present Illness: Improving symptoms since last visit.
Physical Examination: Unremarkable.",Clinical Note
"Histopathology Report
Specimen: Biopsy tissue. Microscopic examination reveals benign findings. No malignancy identified.",Pathology
"Urinalysis
Appearance Clear
Specific Gravity 1.015
Protein Trace
Ketones Negative
Nitrite Negative",Urine Analysis
"Thyroid Function Test
TSH 7.1 mIU/L 0.4-4.0
Free T3 3.1 pg/mL 2.3-4.2
Free T4 1.5 ng/dL 0.8-1.8",Thyroid Test
"Kidney Function Test
Creatinine 1.0 mg/dL 0.6-1.3
Blood Urea Nitrogen 12 mg/dL 7-20
Uric Acid 7.8 mg/dL 3.5-7.2
eGFR 119 mL/min 90-120",Kidney Function Test
"Cholesterol Panel
Cholesterol 204 mg/dL Ref <200
HDL 35 mg/dL Ref >40
LDL 127 mg/dL Ref <100
Triglycerides 187 mg/dL Ref <150",Lipid Profile
"Kidney Function Test
Creatinine 1.4 mg/dL 0.6-1.3
Blood Urea Nitrogen 11 mg/dL 7-20
Uric Acid 5.5 mg/dL 3.5-7.2
eGFR 103 mL/min 90-120",Kidney Function Test
"Thyroid Panel
TSH 6.0 uIU/mL Ref 0.27-4.2
T4 1.4 ng/dL Ref 0.9-1.7",Thyroid Test
"Kidney Function Test
Creatinine 0.6 mg/dL 0.6-1.3
Blood Urea Nitrogen 25 mg/dL 7-20
Uric Acid 4.1 mg/dL 3.5-7.2
eGFR 120 mL/min 90-120",Kidney Function Test
"Renal Panel
Serum Creatinine 0.7 mg/dL Ref 0.7-1.3
Urea 20 mg/dL Ref 15-40",Kidney Function Test
"Progress Note
Chief Complaint: Follow-up visit.
History of Present Illness: Improving symptoms since last visit.
Physical Examination: Unremarkable.",Clinical Note
"CBC Report
Hb 12.7 g/dL Ref 13-17
White Blood Cell Count 7422 /uL Ref 4500-11000
Platelet Count 185481 /uL Ref 150000-410000",CBC
"Thyroid Panel
TSH 2.2 uIU/mL Ref 0.27-4.2
T4 1.1 ng/dL Ref 0.9-1.7",Thyroid Test
"Kidney Function Test
Creatinine 1.0 mg/dL 0.6-1.3
Blood Urea Nitrogen 36 mg/dL 7-20
Uric Acid 9.0 mg/dL 3.5-7.2
eGFR 74 mL/min 90-120",Kidney Function Test
"Cytology Report
Fine needle aspiration cytology shows benign cellular pattern.",Pathology
"Discharge Summary
Patient admitted with fever and cough. Treated with antibiotics. Discharged in stable condition. Follow up in 1 week.",Discharge Summary
"Renal Panel
Serum Creatinine 0.7 mg/dL Ref 0.7-1.3
Urea 33 mg/dL Ref 15-40",Kidney Function Test
"Liver Function Test
SGOT (AST) 85 U/L 10-40
SGPT (ALT) 72 U/L 7-56
Total Bilirubin 0.4 mg/dL 0.1-1.2
Alkaline Phosphatase 139 U/L 44-147",Liver Function Test
"Ultrasound Abdomen
Liver, gallbladder, pancreas, spleen and kidneys appear normal in echotexture.",Radiology
"Lipid Profile
Total Cholesterol 240 mg/dL 125-200
HDL Cholesterol 56 mg/dL 40-60
LDL Cholesterol 77 mg/dL 0-100
Triglycerides 194 mg/dL 0-150",Lipid Profile
"Progress Note
Chief Complaint: Follow-up visit.
History of Present Illness: Improving symptoms since last visit.
Physical Examination: Unremarkable.",Clinical Note
"MRI Report
MRI Brain: No acute intracranial abnormality. Ventricles normal in size.",Radiology
"CBC Report
Hb 15.2 g/dL Ref 13-17
White Blood Cell Count 11841 /uL Ref 4500-11000
Platelet Count 262551 /uL Ref 150000-410000",CBC
"Liver Function Test
SGOT (AST) 60 U/L 10-40
SGPT (ALT) 42 U/L 7-56
Total Bilirubin 0.3 mg/dL 0.1-1.2
Alkaline Phosphatase 167 U/L 44-147",Liver Function Test
"Histopathology Report
Specimen: Biopsy tissue. Microscopic examination reveals benign findings. No malignancy identified.",Pathology
"Complete Blood Count
Hemoglobin 9.5 g/dL 12.0-16.0
WBC 3680 /uL 4000-11000
Platelets 444728 /uL 150000-450000
RBC 4.5 million/uL 4.2-5.4
Hematocrit 48.8 % 36-46",CBC
"MRI Report
MRI Brain: No acute intracranial abnormality. Ventricles normal in size.",Radiology
"Discharge Summary
Patient admitted with fever and cough. Treated with antibiotics. Discharged in stable condition. Follow up in 1 week.",Discharge Summary
"LFT Panel
ALT 35 IU/L Ref 7-55
AST 78 IU/L Ref 8-48
Bilirubin Total 1.8 mg/dL Ref 0.3-1.0",Liver Function Test
"Kidney Function Test
Creatinine 0.7 mg/dL 0.6-1.3
Blood Urea Nitrogen 6 mg/dL 7-20
Uric Acid 5.3 mg/dL 3.5-7.2
eGFR 107 mL/min 90-120",Kidney Function Test
"Kidney Function Test
Creatinine 0.7 mg/dL 0.6-1.3
Blood Urea Nitrogen 35 mg/dL 7-20
Uric Acid 4.1 mg/dL 3.5-7.2
eGFR 52 mL/min 90-120",Kidney Function Test
"Progress Note
Chief Complaint: Follow-up visit.
History of Present Illness: Improving symptoms since last visit.
Physical Examination: Unremarkable.",Clinical Note
"Cholesterol Panel
Cholesterol 234 mg/dL Ref <200
HDL 54 mg/dL Ref >40
LDL 82 mg/dL Ref <100
Triglycerides 244 mg/dL Ref <150",Lipid Profile
"LFT Panel
ALT 19 IU/L Ref 7-55
AST 59 IU/L Ref 8-48
Bilirubin Total 0.3 mg/dL Ref 0.3-1.0",Liver Function Test
"Cytology Report
Fine needle aspiration cytology shows benign cellular pattern.",Pathology
"Thyroid Function Test
TSH 3.6 mIU/L 0.4-4.0
Free T3 1.7 pg/mL 2.3-4.2
Free T4 2.0 ng/dL 0.8-1.8",Thyroid Test
"Complete Blood Count
Hemoglobin 15.9 g/dL 12.0-16.0
WBC 5224 /uL 4000-11000
Platelets 426635 /uL 150000-450000
RBC 4.7 million/uL 4.2-5.4
Hematocrit 36.1 % 36-46",CBC
"Clinical Note
Chief Complaint: Headache for 3 days.
History of Present Illness: Patient reports throbbing frontal headache.
Physical Examination: Vitals stable, no focal neurological deficit.",Clinical Note
"Urinalysis
Appearance Clear
Specific Gravity 1.015
Protein Trace
Ketones Negative
Nitrite Negative",Urine Analysis
"LFT Panel
ALT 62 IU/L Ref 7-55
AST 15 IU/L Ref 8-48
Bilirubin Total 1.2 mg/dL Ref 0.3-1.0",Liver Function Test
"LFT Panel
ALT 34 IU/L Ref 7-55
AST 28 IU/L Ref 8-48
Bilirubin Total 2.0 mg/dL Ref 0.3-1.0",Liver Function Test
"Discharge Summary
Patient admitted with fever and cough. Treated with antibiotics. Discharged in stable condition. Follow up in 1 week.",Discharge Summary
"Lipid Profile
Total Cholesterol 220 mg/dL 125-200
HDL Cholesterol 65 mg/dL 40-60
LDL Cholesterol 116 mg/dL 0-100
Triglycerides 115 mg/dL 0-150",Lipid Profile
"LFT Panel
ALT 23 IU/L Ref 7-55
AST 47 IU/L Ref 8-48
Bilirubin Total 1.7 mg/dL Ref 0.3-1.0",Liver Function Test
"Lipid Profile
Total Cholesterol 239 mg/dL 125-200
HDL Cholesterol 58 mg/dL 40-60
LDL Cholesterol 142 mg/dL 0-100
Triglycerides 160 mg/dL 0-150",Lipid Profile
"Discharge Summary
Admitted for observation following minor procedure. Discharged on day 2, condition stable.",Discharge Summary
"LFT Panel
ALT 9 IU/L Ref 7-55
AST 43 IU/L Ref 8-48
Bilirubin Total 0.9 mg/dL Ref 0.3-1.0",Liver Function Test
